,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
0,0,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste,2023-06-04,18
1,1,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Rarely,True,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,2023-06-04,20
2,2,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy,2023-06-04,22
3,3,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy,2023-06-04,22
4,4,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,True,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-04,22
5,5,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,True,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,2023-06-04,23
6,6,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,True,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability,2023-06-05,0
7,7,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,True,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability,2023-06-05,0
8,8,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste,2023-06-05,0
9,9,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,True,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy,2023-06-05,1
10,10,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability,2023-06-05,1
11,11,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,True,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy,2023-06-05,1
12,12,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy,2023-06-05,1
13,13,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-05,1
14,14,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,True,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,2023-06-05,1
15,15,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,True,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,1
17,17,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,Never,True,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,2023-06-05,2
18,18,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,True,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness,2023-06-05,2
19,19,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy,2023-06-05,2
20,20,64,Male,Once a week,Groceries and Gourmet Food,No,Few times a month,Keyword,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Never,True,Occasionally,Yes,2,Yes,1,2,Competitive prices,Reducing packaging waste,2023-06-05,2
21,21,23,Female,Once a month,Clothing and Fashion,No,Few times a month,others,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,3,2,User-friendly website/app interface,Customer service responsiveness,2023-06-05,2
22,22,21,Male,Less than once a month,others,No,Few times a week,others,Multiple pages,1,Yes,Never,others,Never,True,Never,Sometimes,3,Sometimes,3,3,.,.,2023-06-05,2
24,24,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,others,Rarely,True,Heavily,Yes,3,Sometimes,1,1,Competitive prices,Customer service responsiveness,2023-06-05,2
25,25,24,Female,Multiple times a week,Groceries and Gourmet Food,Yes,Few times a week,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,2,No,2,3,User-friendly website/app interface,Product quality and accuracy,2023-06-05,2
26,26,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,3,Sometimes,2,2,Wide product selection,Shipping speed and reliability,2023-06-05,2
27,27,23,Female,Less than once a month,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,Sometimes,3,Yes,3,5,Wide product selection,Reducing packaging waste,2023-06-05,2
28,28,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,others,Often,True,Heavily,Yes,3,Sometimes,2,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,3
29,29,24,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,Yes,4,Yes,5,4,Competitive prices,Reducing packaging waste,2023-06-05,3
30,30,25,Female,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Often,High shipping costs,Never,True,Heavily,Yes,2,Sometimes,3,4,Wide product selection,Product quality and accuracy,2023-06-05,3
31,31,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,First page,5,Maybe,Often,Changed my mind or no longer need the item,Always,True,Heavily,Yes,4,No,3,4,Competitive prices,Customer service responsiveness,2023-06-05,3
32,32,23,Female,Less than once a month,others,No,Rarely,others,First page,3,No,Never,others,Never,True,Occasionally,Sometimes,5,No,3,3,Wide product selection,Product quality and accuracy,2023-06-05,4
33,33,23,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,True,Heavily,Yes,1,Yes,2,1,Wide product selection,Reducing packaging waste,2023-06-05,4
34,34,23,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,True,Heavily,Yes,3,Yes,1,1,Competitive prices,Customer service responsiveness,2023-06-05,4
35,35,24,Female,Less than once a month,others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,True,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,2023-06-05,4
36,36,24,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Keyword,First page,4,Yes,Always,Changed my mind or no longer need the item,Often,True,Occasionally,Sometimes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,2023-06-05,4
37,37,23,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Rarely,True,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Reducing packaging waste,2023-06-05,5
38,38,29,Male,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Moderately,Yes,2,Yes,2,2,Competitive prices,Customer service responsiveness,2023-06-05,5
39,39,19,Female,Few times a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Always,Found a better price elsewhere,Rarely,True,Rarely,Yes,3,Yes,3,5,Competitive prices,Shipping speed and reliability,2023-06-05,5
40,40,26,Female,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,True,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-05,5
41,41,32,Male,Less than once a month,others,No,Rarely,Keyword,First page,1,No,Always,Changed my mind or no longer need the item,Never,True,Moderately,Yes,1,No,4,1,Customer service ,Nothing,2023-06-05,6
42,42,30,Female,Once a month,Home and Kitchen,No,Few times a month,Filter,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,True,Moderately,Yes,1,No,4,1,User-friendly website/app interface,Reducing packaging waste,2023-06-05,6
43,43,22,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,others,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Often,True,Moderately,Sometimes,5,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-05,6
44,44,26,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,categories,Multiple pages,1,Yes,Sometimes,High shipping costs,Never,True,Moderately,No,2,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,6
45,45,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,High shipping costs,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,2023-06-05,8
46,46,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Always,True,Heavily,Yes,4,Yes,4,4,Wide product selection,Product quality and accuracy,2023-06-05,9
47,47,24,Female,Less than once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-05,12
48,48,23,Female,Few times a month,others,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,True,Heavily,Yes,4,Sometimes,3,3,Wide product selection,Product quality and accuracy,2023-06-05,14
